Sigla da IES,Nome da IES,Código do Curso,Nome do Curso,Grau,Qt. Vagas Autorizadas,Carga Horária,Tipo de Periodicidade,Integralização,Código do Endereço,Nome do Campus,Endereço,Número Endereço,Complemento,Bairro,Código do Município,Município,UF
UNILAB,UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,1577654,ENGENHARIA DE ALIMENTOS,Bacharelado,80,3850,Semestral,10,1050267,Núcleo Universitário de Marechal Thaumaturgo - Centro de Florestania,Rodovia CE 060,s/n,CAMPUS DAS AURORAS,Auroras,2311603,Redenção,CE
IFRS,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Escola de Engenharia de São Carlos - EESC,,,,,,,
,COLÉGIO PEDRO II,,,,,,,,,Campus de Balsas,,,,,,,
IFMA,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,UEL - CAMPUS UNIVERSITÁRIO,,,,,,,
IFSul,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,CAMPUS  - GILBUÉS,,,,,,,
UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,87799,LETRAS - PORTUGUÊS,Licenciatura,30,3340,Anual,,3673,Campus de Toledo,PA 140 KM 0,s/nº,,Amparo,1508209,Vigia,PA
UVA,UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,1323576,GEOGRAFIA,Bacharelado,25,2580,Semestral,,1647,CAMPUS  - ANICUNS - SETOR ROOSEVELT,Av. Jonh Sanford,1845,Campus  Junco,Junco,2312908,Sobral,CE
UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,1145126,CIÊNCIAS - BIOLOGIA,Licenciatura,50,3465,Semestral,4,152876,CAMPUS  - ARARAQUARA,Rua Torquato Pereira de Abreu,s/n,Unidade Bequimão,Estiva,2101905,Bequimão,MA
UFPEL,UNIVERSIDADE FEDERAL DE PELOTAS,1102208,LETRAS - PORTUGUÊS,Licenciatura,55,3225,Semestral,,1032256,Faculdade de Filosofia Ciências e Letras de Ribeirão Preto - FFCLRP,Rua Gomes Carneiro,1,,Centro,4314407,Pelotas,RS
USP,UNIVERSIDADE DE SÃO PAULO,20425,ENGENHARIA DE MATERIAIS,Bacharelado,40,4185,Semestral,10,8066,CAMPUS FEDERAÇÃO/ONDINA - Unidades de São Lázaro,Estrada Municipal do Campinho,s/n,Escola de Engenharia de Lorena,Ponte Nova,3527207,Lorena,SP
UFPB,UNIVERSIDADE FEDERAL DA PARAÍBA,22457,COMUNICAÇÃO SOCIAL  - RADIALISMO,Bacharelado,60,2790,Semestral,,1001624,Fortaleza,Cidade Universitária,s/n,Campus I,Castelo Branco,2507507,João Pessoa,PB
UFAC,UNIVERSIDADE FEDERAL DO ACRE,106252,LETRAS - LÍNGUA PORTUGUESA,Licenciatura,40,3210,Semestral,10,24813,UEPB - Sede - Campus I,Rua Zilda Vasconcelos,s/n,,Núcleo Universitário,1200351,Marechal Thaumaturgo,AC
IFAC,Instituto Federal de Educação,,,,,,,,,CAMPUS DE AUGUSTINÓPOLIS,,,,,,,
USP,UNIVERSIDADE DE SÃO PAULO,69726,ENGENHARIA ELéTRICA - ÊNFASE EM SISTEMAS DE ENERGIA E AUTOMAçãO,Bacharelado,50,4020,Semestral,10,1079833,CAMPUS UNIVERSITÁRIO DO VALE DO TELES PIRES (Colider),Avenida Trabalhador Sancarlense,400,Escola de Engenharia de São Carlos - EESC,Parque Arnold Schimidt,3548906,São Carlos,SP
UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,1405574,ENGENHARIA ELÉTRICA,Bacharelado,30,4080,Semestral,10,1062821,Campus Santa Mônica/Reitoria,Rua José Leão,484,,Centro,2101400,Balsas,MA
UEL,UNIVERSIDADE ESTADUAL DE LONDRINA,779,FILOSOFIA,Licenciatura,40,3210,Semestral,,657675,Câmpus de Guaratinguetá / Faculdade de Engenharia,Rodovia Celso Garcia Cid Pr 445 Km 380,,UEL - CAMPUS UNIVERSITÁRIO,Campus Universitário,4113700,Londrina,PR
UESPI,UNIVERSIDADE ESTADUAL DO PIAUÍ,91665,PEDAGOGIA,Licenciatura,0,2395,Semestral,,702184,Núcleo de Ensino Superior da UEA em Novo Aripuanã,FESAG,S/N,,Centro,2204402,Gilbués,PI
UNIOESTE,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,319397,CIÊNCIAS SOCIAIS,Bacharelado,40,3196,Anual,,554,Cãmpus de São José do Rio Preto / Instituto de Biociências,RUA DA FACULDADE,645,,JARDIM LA SALLE,4127700,Toledo,PR
FA,FACULDADE DE ANICUNS,16580,DIREITO,Bacharelado,155,4200,Semestral,,658072,Escola Politécnica - EP,Avenida Bandeirantes,1140,,Setor Roosevelt,5201306,Anicuns,GO
UNESP,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,28600,LETRAS - PORTUGUÊS E LATIM,Licenciatura,10,3075,Anual,,691248,Centro de Artes,RODOVIA ARARAQUARA - JAU,S/N,KM 1,Campos Ville,3503208,Araraquara,SP
USP,UNIVERSIDADE DE SÃO PAULO,1292747,CIêNCIAS BIOLóGICAS - ÊNFASE EM BIOLOGIA AMBIENTAL,Bacharelado,12,4395,Semestral,5,1079796,Campus de Soure,Av. Bandeirantes,3.900,Faculdade de Filosofia Ciências e Letras de Ribeirão Preto - FFCLRP,Vila Monte Alegre,3543402,Ribeirão Preto,SP
UFBA,UNIVERSIDADE FEDERAL DA BAHIA,13303,FILOSOFIA,Licenciatura,25,2852,Semestral,8,1047095,Campus Principal,Rua Prof. Aristides Novis,197,CAMPUS UNIVERSITARIO FEDERACAO/ONDINA,FEDERACAO,2927408,Salvador,BA
UFRN,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,58562,AQÜICULTURA,Bacharelado,1,2820,Semestral,8,1036249,PRAIA VERMELHA,Avenida Senador  Salgado Filho,3000,Campus Universitário,Lagoa Nova,2408102,Natal,RN
