Sigla da IES,Nome da IES,Código do Curso,Nome do Curso,Grau,Qt. Vagas Autorizadas,Carga Horária,Tipo de Periodicidade,Integralização,Código do Endereço,Nome do Campus,Endereço,Número Endereço,Complemento,Bairro,Código do Município,Município,UF
FURG,UNIVERSIDADE FEDERAL DO RIO GRANDE,1103532,GESTÃO AMBIENTAL,Tecnológico,30,1890,Semestral,6,1045632,Campus Moysés Israel,Avenida Itália,S/N,Km 8,Carreiros,4315602,Rio Grande,RS
UFC,UNIVERSIDADE FEDERAL DO CEARÁ,150113,ENGENHARIA DE PETRÓLEO,Bacharelado,40,3792,Semestral,10,600034,CAMPUS DE MARECHAL CÂNDIDO RONDON,Rua Campus do Pici,s/n,,Pici,2304400,Fortaleza,CE
CENTEC,FACULDADE DE TECNOLOGIA CENTEC - CARIRI,90991,ALIMENTOS,Tecnológico,45,2820,Semestral,7,659933,CAMPUS DE BACABAL,Avenida Amália Xavier de Oliveira,s/n,,Triângulo,2307304,Juazeiro do Norte,CE
UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,1316022,CIÊNCIAS SOCIAIS,Bacharelado,80,2760,Semestral,,1006603,CAMPUS JANDAIA DO SUL,Rua 03,,,,,,
FTT,FACULDADE DE TECNOLOGIA TERMOMECÂNICA,68763,PROCESSOS GERENCIAIS,Tecnológico,64,1920,Semestral,,659447,Unidade Acadêmica de Alto Alegre do Pindaré,Estrada dos Alvarengas,4001,,Alvarenga,3548708,São Bernardo do Campo,SP
IF SUL DE MINAS,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Campus Professor Francisco Gonçalves Quiles - UNIR Cacoal,,,,,,,
USP,UNIVERSIDADE DE SÃO PAULO,18658,JORNALISMO,Bacharelado,60,4785,Semestral,,1075934,CAMPUS - TRÊS RIOS - CENTRO,Avenida Professor Lúcio Martins Rodrigues,443,Escola de Comunicações e Artes - Cidade Universitária,Butantã,3550308,São Paulo,SP
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,1517184,GEOGRAFIA,Licenciatura,50,3300,Semestral,10,2047,Campus CECA - Unidade Educacional Viçosa,Av.Mário Andreaza,S/N,,São Francisco,1301902,Itacoatiara,AM
UNIFESP,UNIVERSIDADE FEDERAL DE SÃO PAULO,1103064,MATEMÁTICA COMPUTACIONAL,Bacharelado,100,2916,Semestral,8,1073187,CAMPUS  - SÃO MANUEL - APARECIDA DE SÃO MANUEL,Avenida Cesare Mansueto Giulio Lattes,1201,Parque Tecnológico,Eugênio de Mello,3549904,São José dos Campos,SP
UNESPAR,Universidade Estadual do Paraná,15720,GEOGRAFIA,Licenciatura,40,3104,Anual,,658032,Autarquia Municipal de Ensino de Poços de Caldas,Praça Coronel Amazonas,S/N,,CENTRO,4128203,União da Vitória,PR
UNB,UNIVERSIDADE DE BRASÍLIA,34642,JORNALISMO,Bacharelado,44,3000,Semestral,8,4229,CAMPUS  - BOM JESUS DO ITABAPOANA - CENTRO,Campus Universitário Darcy Ribeiro,s/n,,Asa Norte,5300108,Brasília,DF
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,1157463,PEDAGOGIA INTERCULTURAL INDíGENA,Licenciatura,50,3210,Semestral,,2272,Campus de Patos,Rua Castelo Branco,216,E.E.G.Buzaglo,Centro,1303304,Novo Aripuanã,AM
UERN,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,66213,LETRAS - INGLÊS,Licenciatura,20,3680,Anual,,2630,CAMPUS PALOTINA,Rua Umari,s/n,,São José,2414506,Umarizal,RN
UNESP,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,29366,LETRAS - FRANCÊS,Licenciatura,17,2800,Anual,,747,Núcleo de Ensino Superior da UEA em Maraã,,,,,,,
IF Catarinense,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Núcleo Pedagógico de Rondonópolis,,,,,,,
UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,68860,ENGENHARIA MECÂNICA,Bacharelado,0,4395,Semestral,10,698373,Campus de Alenquer,Rua Mendeleyev,200,,Cidade Universitária,3509502,Campinas,SP
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,120462,ARQUEOLOGIA,Tecnológico,33,2685,Semestral,,600192,CAMPUS - BRAGANÇA PAULISTA - PENHA,Travesso Açai,S/N,,Alto,1301852,Iranduba,AM
UVA,UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,63155,GESTÃO DE RECURSOS HUMANOS,Sequencial,50,1620,Semestral,,697263,Escola Municipalizada Professor Álvaro Augusto da Fonseca Lontra,AVENIDA DA UNIVERSIDADE,850,,BETÁNIA,2312908,Sobral,CE
IFNMG,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,CAMPUS DOM JOSE VASQUEZ DIAZ - BOM JESUS,,,,,,,
IFMT,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,ITAMONTE,,,,,,,
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,120569,GESTÃO AMBIENTAL,Tecnológico,52,2075,Semestral,,1052075,CEFET/RJ - UNIDADE MARACANÃ,Rua Camilo Morato,-,Av. Coronel Luis Gomes,,,,
UNEAL,UNIVERSIDADE ESTADUAL DE ALAGOAS - UNEAL,103352,CIÊNCIAS BIOLÓGICAS,Licenciatura,40,3500,Semestral,,1045606,Unidades Dispersas,Rua Governador Luiz Cavalcante,s/n,,Alto do Cruzeiro,2700300,Arapiraca,AL
UFSCAR,UNIVERSIDADE FEDERAL DE SÃO CARLOS,96436,ENGENHARIA FLORESTAL,Bacharelado,40,4140,Semestral,10,6154,Faculdade de Tecnologia de Bauru,Rodovia João Leme dos Santos,,,,,,
UNIPAMPA,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA,103455,GESTÃO AMBIENTAL,Bacharelado,50,2800,Semestral,,1045943,Departamentos de Ciências Humanas e Tecnologias e Ciências Sociais - Campus III - Juazeiro,Rua Professor Aluizio Barros Macedo,s/n,Campus Sao Gabriel - Sede Academica,Br 290,4318309,São Gabriel,RS
UNEB,UNIVERSIDADE DO ESTADO DA BAHIA,113379,GEOGRAFIA,Licenciatura,50,3105,Semestral,,1051340,CAMPUS  - ALÉM PARAÍBA - SAÚDE,Av. Luiz Eduardo Magalhães,S/N,,Vitória,,,
IFPR,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Núcleo Avançado de Educação Superior de São Miguel,,,,,,,
UEFS,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,1183082,PSICOLOGIA,Bacharelado,70,4435,Semestral,10,32401,Núcleo de Portel,Av Transnordestina,S/N,Campus Universitárfio,Novo Horizonte,2910800,Feira de Santana,BA
UNIOESTE,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,70011,QUÍMICA,Bacharelado,44,3464,Anual,4,554,CAMPUS SANTA VITÓRIA DO PALMAR,RUA DA FACULDADE,645,,JARDIM LA SALLE,4127700,Toledo,PR
IF Goiano,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,CAMPUS DO SERTÃO - Sede,,,,,,,
UFJ,UNIVERSIDADE FEDERAL DE JATAÍ,18954,MATEMÁTICA,Licenciatura,45,2800,Semestral,,1112733,Campus de Tupã - Faculdade de Ciências e Engenharia,Rodovia BR-364,,,Setor Francisco Antônio,5211909,Jataí,GO
IFBA,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Fatec Gt,,,,,,,
UNEB,UNIVERSIDADE DO ESTADO DA BAHIA,34341,ADMINISTRAÇÃO,Bacharelado,40,3000,Semestral,,1556,Campus Universitário de Várzea Grande,Loteamento Jardim Bahia,s/n,,Sem Bairro,2928703,Santo Antônio de Jesus,BA
UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1114221,LETRAS - PORTUGUÊS E ALEMÃO,Licenciatura,56,3930,Semestral,8,657978,CENTRO DE ESTUDOS SUPERIORES DE LAGO DA PEDRA,Avenida Brigadeiro Trompowsky,s/n,Cidade Universitária,Ilha do Fundão,3304557,Rio de Janeiro,RJ
UEFS,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,18311,FÍSICA,Licenciatura,66,3246,Semestral,8,32401,Núcleo de Ensino Superior da UEA em Barcelos,Av Transnordestina,S/N,Campus Universitárfio,Novo Horizonte,2910800,Feira de Santana,BA
IFES,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Campus Unesc,,,,,,,
IF Fluminense,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,UNIDADE UNIVERSITÁRIA DE CAMPO GRANDE,,,,,,,
UNILA,UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,1193365,CINEMA E AUDIOVISUAL,Bacharelado,50,2947,Semestral,8,1071745,Campus V - CCNT,Avenida Tarquínio Joslin dos Santos,1.000,UNILA-JARDIM UNIVERSITÁRIO,Jardim Universitário,4108304,Foz do Iguaçu,PR
UFG,UNIVERSIDADE FEDERAL DE GOIÁS,118006,EDUCAÇÃO INTERCULTURAL - CIÊNCIAS DA LINGUAGEM,Licenciatura,60,3582,Semestral,10,106560,Campus Universitário  de Sinop,RODOVIA GOIÂNIA NERÓPOLIS,KM 12,Prédio da Reitoria,Campus Samambaia,5208707,Goiânia,GO
UFRN,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,18393,BIBLIOTECONOMIA,Bacharelado,70,2730,Semestral,,1036249,CAMPUS DE CURITIBA I - EMBAP,Avenida Senador  Salgado Filho,3000,Campus Universitário,Lagoa Nova,2408102,Natal,RN
UNEB,UNIVERSIDADE DO ESTADO DA BAHIA,91805,HISTÓRIA,Licenciatura,80,3355,Semestral,,1565,Campus de Frederico Westphalen,Rua Maximo Madureira,s/n,Prédio do Colégio Estadual Olgarina Pitangueiras Pinheiro,Fluminense,2908408,Conceição do Coité,BA
IFFarroupilha,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,CAMPUS ELDORADO DOS SUL,,,,,,,
UEMG,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,1081911,EDUCAÇÃO FÍSICA,Licenciatura,50,2800,Semestral,,659514,Faculdade de Saúde Pública - FSP,Avenida Paraná,3001,,Jardim Belvedere,3122306,Divinópolis,MG
UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,117380,CIÊNCIAS ATUARIAIS,Bacharelado,30,3135,Semestral,8,1153,Escola Municipal Governador Nunes Freire,Av. Prof. Moraes Rego,1.235,,Cidade Universitária,2611606,Recife,PE
UNEAL,UNIVERSIDADE ESTADUAL DE ALAGOAS - UNEAL,1214158,PEDAGOGIA,Licenciatura,80,3310,Semestral,7,1062393,Campus IV - Centro de Ciências Aplicadas e Educação - CCAE - Mamanguape,Rua Dom Pedro II,S/N,,Centro,2701001,Boca da Mata,AL
Fatec - Itapetininga,Faculdade de Tecnologia de Itapetininga - Prof.Antônio Belizandro Barbosa Rezende,1297033,GESTÃO DA PRODUÇÃO INDUSTRIAL,Tecnológico,40,2880,Semestral,,1051664,Campus XIV - Moju,Rua João Vieira Camargo,104,,Vila Barth,3522307,Itapetininga,SP
IF Fluminense,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Campus de Cornélio Procópio,,,,,,,
UNIFESSPA,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,1262452,ENGENHARIA ELÉTRICA,Bacharelado,80,4231,Semestral,10,1066314,CAMPUS PONTAL DO SUL,Folha 17,,,,,,
UFERSA,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,1127377,ENGENHARIA FLORESTAL,Bacharelado,50,3780,Semestral,10,102292,CÂMPUS SILVÂNIA,BR 110 - Km 47,s/n,,Presidente Costa e Silva,2408003,Mossoró,RN
UFAL,UNIVERSIDADE FEDERAL DE ALAGOAS,13204,CIÊNCIAS CONTÁBEIS,Bacharelado,160,3005,Semestral,,1036246,ICM- INSTITUTO DE CIÊNCIAS DA SOCIEDADE,Av. Lourival de Melo Mota,s/n,CAMPUS A. C. SIMÕES - Cidade Universitária,TABULEIRO DO MARTINS,2704302,Maceió,AL
UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,95727,EDUCAÇÃO FÍSICA,Licenciatura,40,3720,Semestral,8,1754,Unidade Ubá,Av. Araguaia,s/n,,Vila Cruzeiro,1502707,Conceição do Araguaia,PA
IFNMG,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Faculdade de Economia,,,,,,,
UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,1497513,PEDAGOGIA,Licenciatura,35,3435,Semestral,8,1061556,Campus Alto Paraopeba - CAP,BR 316,,,,,,
UFR,Universidade Federal de Rondonópolis,100800,ENGENHARIA AGRÍCOLA E AMBIENTAL,Bacharelado,86,4064,Semestral,10,1114668,Centro de Ciências da Administração e Sócio-Econômicas - ESAG Campus I,Av Avenida dos Estudantes,5055,,Cidade Universitária,5107602,Rondonópolis,MT
UFV,UNIVERSIDADE FEDERAL DE VIÇOSA,697,PEDAGOGIA,Licenciatura,60,3450,Semestral,,1005394,Unidade Manoel Terra,Av. P.H. Rolfs,s/n,Campus Universitário,Campus Universitário,3171303,Viçosa,MG
IFPR,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Campus Universitário de Salinópolis,,,,,,,
FURG,UNIVERSIDADE FEDERAL DO RIO GRANDE,116030,ENGENHARIA AGROINDUSTRIAL AGROQUÍMICA,Bacharelado,50,4005,Semestral,10,1055960,Campus de São Félix do Xingu,RUA BARÃO DO CAHY,125,,Cidade Alta,4317608,Santo Antônio da Patrulha,RS
USP,UNIVERSIDADE DE SÃO PAULO,2914,TURISMO,Bacharelado,30,4320,Semestral,,1075934,CAMPUS - RIO VERMELHO - CENTRO,Avenida Professor Lúcio Martins Rodrigues,443,Escola de Comunicações e Artes - Cidade Universitária,Butantã,3550308,São Paulo,SP
UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,1212394,CIêNCIAS - QUíMICA,Licenciatura,40,3375,Semestral,,1061496,CAMPUS UNIVERSITÁRIO DE ARRAIAS,Rua Raimundo Honorio,s/n,,Caminho Grande,2105401,Itapecuru Mirim,MA
USJ,CENTRO UNIVERSITÁRIO MUNICIPAL DE SÃO JOSÉ,96872,CIÊNCIAS CONTÁBEIS,Bacharelado,80,3008,Semestral,,36267,Campus Osasco,Rua Silvia Maria Fabro,97,,Kobrasol,4216602,São José,SC
UFSCAR,UNIVERSIDADE FEDERAL DE SÃO CARLOS,300625,QUÍMICA,Bacharelado,60,2910,Semestral,8,1006610,CAMPUS DE VILHENA,Via Washington  Luis,Km 235,S/Nº,Monjolinho,3548906,São Carlos,SP
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,1315519,EDUCAÇÃO FÍSICA,Licenciatura,32,3245,Semestral,,2272,Núcleo Universitário de Porto Walter,Rua Castelo Branco,216,E.E.G.Buzaglo,Centro,1303304,Novo Aripuanã,AM
UNOCHAPECÓ,UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ,1184963,INTERCULTURAL INDÍGENA EM PEDAGOGIA,Licenciatura,19,4215,Semestral,10,659387,Campus Rio Marataoan,Avenida Senador Attílio Fontana,591,E,EFAPI,4204202,Chapecó,SC
UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,99098,FARMÁCIA,Bacharelado,50,4285,Semestral,9,1048379,Núcleo de Ensino Superior da Uea em Itamaratí,Rodovia BR 101 Norte,,,,,,
UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,47340,QUÍMICA,Bacharelado,70,3165,Semestral,8,688715,Câmpus de Três Lagoas - CPTL II,Rua Monteiro Lobato,S/N,,Cidade Universtária,3509502,Campinas,SP
IFMS,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Câmpus de Chapadão do Sul - CPCS,,,,,,,
UNB,UNIVERSIDADE DE BRASÍLIA,26039,LETRAS - LÍNGUA FRANCESA E RESPECTIVA LITERATURA,Bacharelado,26,2640,Semestral,9,4229,UNIDADE  - MACAPÁ - CENTRAL - PRINCIPAL,Campus Universitário Darcy Ribeiro,s/n,,Asa Norte,5300108,Brasília,DF
UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,1208764,CIÊNCIAS: BIOLOGIA,,,,,,,Campus UnB - Planaltina,,,,,,,
UFPA,UNIVERSIDADE FEDERAL DO PARÁ,11988,CIÊNCIAS CONTÁBEIS,Bacharelado,120,3180,Semestral,,1005925,FACULDADE VIZINHANÇA VALE DO IGUAÇU - VIZIVALI,RUA AUGUSTO CORREA,1,CIDADE UNIVERSITARIA JOSÉ DA SILVEIRA NETTO,GUAMÁ,1501402,Belém,PA
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,1344174,PRODUÇÃO PESQUEIRA,Tecnológico,40,2400,Semestral,,2041,CAMPUS DE PIRAPORA,Rua BL,,,,,,
UFCSPA,FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,107856,PSICOLOGIA,Bacharelado,40,4805,Anual,,1002379,Jales,Rua Sarmento Leite,245,,Centro,4314902,Porto Alegre,RS
UEMG,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,6545,PEDAGOGIA,Licenciatura,80,2800,Semestral,,659509,Núcleo de Ensino Superior de Carauari,Rua da Glória,394,,Centro,3121605,Diamantina,MG
UEM,UNIVERSIDADE ESTADUAL DE MARINGÁ,3417,ODONTOLOGIA,Bacharelado,40,5474,Anual,5,657707,Campus da UFC em Crateús,Avenida Colombo,5790,Campus Universitário,Zona 7,4115200,Maringá,PR
UFJF,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,338748,ARTES,Bacharelado,0,2965,Semestral,,1039546,Núcleo de Estudos Superiores de Tonantins,Campus Universitário,s/n,UFJF,São Pedro,3136702,Juiz de Fora,MG
IFRO,INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA,,,,,,,,,CÂMPUS MINAÇU,,,,,,,
UNESP,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,3190,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,35,3330,Anual,4,747,Faculdade de Ciências Econômicas - Campus Centro,,,,,,,
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,1315416,GESTÃO PÚBLICA,Tecnológico,53,1600,Semestral,,707777,CAMPUS DE SÃO BERNARDO,Avenida Presidente Castelo Branco,504,Esola Superior de Ciências Sociais (ESO),Cachoeirinha,1302603,Manaus,AM
UFRN,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,18854,ENGENHARIA TÊXTIL,Bacharelado,70,3790,Semestral,10,1036249,Polo UAB - Lauro de Freitas,Avenida Senador  Salgado Filho,3000,Campus Universitário,Lagoa Nova,2408102,Natal,RN
UNESP,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,22179,LETRAS - ITALIANO,Licenciatura,17,2800,Anual,,747,CAMPUS V - UNIÃO DOS PALMARES,,,,,,,
UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,47369,GEOGRAFIA,Bacharelado,30,3060,Semestral,,692691,UNIDADE ACADÊMICA DE SERRA TALHADA,Rua João Pandiá Calógeras,51,,Cidade Universitária,3509502,Campinas,SP
IFSul,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Unidade Universitária de Glória de Dourados,,,,,,,
UFPB,UNIVERSIDADE FEDERAL DA PARAÍBA,100220,HOTELARIA,Bacharelado,100,2400,Semestral,8,6793,Unidade de Bagé,Centro de Ciências Aplicadas e Educação - Campus IV - Rua da Mangueira,s/n,,Centro,2512903,Rio Tinto,PB
IF SUL DE MINAS,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Macaúbas,,,,,,,
UFG,UNIVERSIDADE FEDERAL DE GOIÁS,1188897,ENGENHARIA FÍSICA,Bacharelado,25,4296,Semestral,10,106560,Núcleo de Irituia,RODOVIA GOIÂNIA NERÓPOLIS,KM 12,Prédio da Reitoria,Campus Samambaia,5208707,Goiânia,GO
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,116978,EDUCAÇÃO FÍSICA,Licenciatura,52,2990,Semestral,,2038,CÂMPUS DOIS VIZINHOS,Estrada Odovaldo Novo,s/n,,Djarde Vieira,1303403,Parintins,AM
IFCE,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Campus de Cajazeiras,,,,,,,
UVA,UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,1471842,LICENCIATURA INTERCULTURAL INDÍGENA,Licenciatura,80,3240,Semestral,8,697263,Núcleo Universitário - Epitaciolândia,AVENIDA DA UNIVERSIDADE,850,,BETÁNIA,2312908,Sobral,CE
UECE,UNIVERSIDADE ESTADUAL DO CEARÁ,59268,QUÍMICA,Licenciatura,80,3128,Anual,,203,FACULDADE DO BELO JARDIM,AV. MONSENHOR TABOSA,,,,,,
FATEC-SP,FACULDADE DE TECNOLOGIA DE SÃO PAULO,1321292,INSTALAÇÕES ELÉTRICAS,Tecnológico,40,2400,Semestral,,1041361,Campus IV/Capim Grosso,Praça Coronel Fernando Prestes,30,,BOM RETIRO,3550308,São Paulo,SP
UNEMAT,Universidade do Estado de Mato Grosso Carlos Alberto Reyes Maldonado - UNEMAT,1425305,ZOOTECNIA,Bacharelado,50,3710,Semestral,,3309,CAMPUS VI - MACEIÓ,Rodovia MT 100,,,,,,
UNEMAT,Universidade do Estado de Mato Grosso Carlos Alberto Reyes Maldonado - UNEMAT,1265365,DIREITO,Bacharelado,80,4020,Semestral,,391,Centro de Estudos Superiores de Presidente Dutra,Rua A,s/n,,COHAB São Raimundo,5101704,Barra do Bugres,MT
UFAC,UNIVERSIDADE FEDERAL DO ACRE,99839,ENGENHARIA FLORESTAL,Bacharelado,50,3915,Semestral,10,869,"CAMPUS UNIVERSITÁRIO ""PROF. DORVAL VARELA MOURA""",Estrada do Canela Fina Km 12,,,,,,
UFLA,UNIVERSIDADE FEDERAL DE LAVRAS,1120591,LETRAS - PORTUGUÊS E INGLÊS,Licenciatura,100,4020,Semestral,,1000100,Polo de Macau,Rua Prof. Edmir Sá Santos,S/N,,Campus Universitário,3138203,Lavras,MG
IFS,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,CAMPUS DA LIBERDADE,,,,,,,
UNESP,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,19390,ENGENHARIA ELÉTRICA,Bacharelado,60,3975,Semestral,10,727,Campus XII - Guanambi,Av. Engº Luiz Edmundo Carrijo Coube,14-01,,Vargem Limpa,3506003,Bauru,SP
UESPI,UNIVERSIDADE ESTADUAL DO PIAUÍ,18563,LETRAS - PORTUGUÊS,Licenciatura,40,3300,Semestral,,765,Unidade Leopoldina,BR 343,1281,,CAMPO VELHO,2203909,Floriano,PI
UNB,UNIVERSIDADE DE BRASÍLIA,26037,COMUNICAÇÃO SOCIAL,Bacharelado,1,2760,Semestral,8,4229,Campus Avançado de Natal,Campus Universitário Darcy Ribeiro,s/n,,Asa Norte,5300108,Brasília,DF
UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,1265588,ENGENHARIA FLORESTAL,Bacharelado,30,4360,Semestral,,1753,Faculdade de Educação/UNICAMP,Rodovia PA 125,s/n,,Angelim,1505502,Paragominas,PA
UNESP,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,1382578,ENGENHARIA AERONÁUTICA,Bacharelado,40,4050,Semestral,10,1067685,Polo Ubatuba,Avenida Professora Isette Corrêa Fontão,505,,Jardim das Flores,3549102,São João da Boa Vista,SP
UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,1101389,QUÍMICA AMBIENTAL,Bacharelado,80,3270,Semestral,9,1006598,Presidente Prudente-Vila Paulo Roberto,Rua Badejós,Lote 7,Chacará 69/72,Setor Sevilha - Zona Rural,1709500,Gurupi,TO
UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,112154,ENGENHARIA DA COMPUTAÇÃO,Bacharelado,35,4410,Semestral,,657971,UNIVERSIDADE FEDERAL DE ALFENAS - CAMPUS VARGINHA,Cidade Universitária,,,,,,
UNIFAP,UNIVERSIDADE FEDERAL DO AMAPÁ,94451,ARQUITETURA E URBANISMO,Bacharelado,50,4280,Semestral,,1006640,Centro Universitário Municipal de São José,Rodovia Juscelino Kubitschek,S/N,KM 2,Zerão,1600303,Macapá,AP
CIAvEx,Centro de Instrução de Aviação do Exército,1575237,MANUTENÇÃO DE AERONAVES,Tecnológico,46,3903,Anual,4,1074626,CAMPUS CARAUBAS,Complexo de Aviação do Exército - CAVEX,2.135,Estrada Municipal dos Remédios,,,,
UNIVASF,FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,87960,ENGENHARIA DE COMPUTAÇÃO,Bacharelado,50,4290,Semestral,10,1046636,Núcleo de Juruti,AV. ANTÔNIO CARLOS MAGALHÃES,510,CAMPUS UNIVERSITÁRIO,SANTO ANTÔNIO,2918407,Juazeiro,BA
USP,UNIVERSIDADE DE SÃO PAULO,18651,ENGENHARIA CIVIL,Bacharelado,60,5715,Semestral,10,1079833,CAMPUS IV - MIGUEL DOS CAMPOS,Avenida Trabalhador Sancarlense,400,Escola de Engenharia de São Carlos - EESC,Parque Arnold Schimidt,3548906,São Carlos,SP
UNIPAMPA,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA,1342449,MEDICINA,Bacharelado,60,8255,Semestral,12,34381,Centro de Artes Humanidades e Letras,Rod. BR 472 KM 592,s/n,,distrito,4322400,Uruguaiana,RS
UERN,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,65984,COMUNICAÇÃO SOCIAL,Bacharelado,48,2770,Semestral,,670,Campus I - Salvador,BR 110,,,,,,
UFC,UNIVERSIDADE FEDERAL DO CEARÁ,150091,DANÇA,Licenciatura,20,3200,Semestral,8,600034,Sonia Maria Franca,Rua Campus do Pici,s/n,,Pici,2304400,Fortaleza,CE
IFMA,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Cristópolis - CAMPUS IX,,,,,,,
UFC,UNIVERSIDADE FEDERAL DO CEARÁ,37274,FILOSOFIA,Licenciatura,50,3000,Semestral,,600034,CAMPUS  - SERITINGA - CENTRO,Rua Campus do Pici,s/n,,Pici,2304400,Fortaleza,CE
UFPA,UNIVERSIDADE FEDERAL DO PARÁ,1300375,MATEMÁTICA,Licenciatura,40,3050,Semestral,,1098368,Unidade de Vacaria,RUA SÃO RAIMUNDO,,CAMPUS DE SALINOPOLIS,SÃO TOMÉ,1506203,Salinópolis,PA
UFAL,UNIVERSIDADE FEDERAL DE ALAGOAS,25196,LETRAS - ESPANHOL,Licenciatura,40,3242,Semestral,,1036246,Faculdade de Engenharia,Av. Lourival de Melo Mota,s/n,CAMPUS A. C. SIMÕES - Cidade Universitária,TABULEIRO DO MARTINS,2704302,Maceió,AL
UFS,UNIVERSIDADE FEDERAL DE SERGIPE,95037,CIÊNCIAS BIOLÓGICAS,Licenciatura,50,3510,Semestral,,5812,Isntituto Educacional Prof. Olga Portela,Avenida Vereador Olímpio Grande,s/n,,Centro,2802908,Itabaiana,SE
UFPI,UNIVERSIDADE FEDERAL DO PIAUÍ,73192,PEDAGOGIA,Licenciatura,240,3225,Semestral,,102559,Núcleo de Breu Branco,Campus Universitário Ministro Petrônio Portela,s/n,SG - 07,Ininga,2211001,Teresina,PI
